event_id,user_id,account_id,event_date,feature_area,event_type,success,platform,session_minutes
evt_000000,usr_b3599c2a,acct_northwind,2026-04-28,search,feature_use,true,desktop,40
evt_000001,usr_b3599c2a,acct_northwind,2026-04-28,integrations,feature_use,true,mobile,15
evt_000002,usr_a1d169f8,acct_northwind,2026-04-28,integrations,feature_use,true,desktop,30
evt_000003,usr_a1d169f8,acct_northwind,2026-04-28,admin_permissions,feature_use,true,web,29
evt_000004,usr_a1d169f8,acct_northwind,2026-04-28,admin_permissions,feature_use,false,web,28
evt_000005,usr_bc48e4c7,acct_northwind,2026-04-28,search,feature_use,false,web,16
evt_000006,usr_bc48e4c7,acct_northwind,2026-04-28,channel_browse,feature_use,true,web,45
evt_000007,usr_bc48e4c7,acct_northwind,2026-04-28,search,feature_use,false,mobile,18
evt_000008,usr_7c94306a,acct_vertex,2026-04-28,threaded_replies,feature_use,true,web,35
evt_000009,usr_7c94306a,acct_vertex,2026-04-28,calls,feature_use,true,mobile,18
evt_000010,usr_7c94306a,acct_vertex,2026-04-28,boards,feature_use,true,desktop,31
evt_000011,usr_aca5e3d4,acct_vertex,2026-04-28,boards,feature_use,true,web,15
evt_000012,usr_aca5e3d4,acct_vertex,2026-04-28,calls,feature_use,true,desktop,36
evt_000013,usr_aca5e3d4,acct_vertex,2026-04-28,threaded_replies,feature_use,true,web,35
evt_000014,usr_5baf21ae,acct_vertex,2026-04-28,integrations,feature_use,true,mobile,41
evt_000015,usr_5baf21ae,acct_vertex,2026-04-28,admin_permissions,feature_use,true,web,2
evt_000016,usr_5baf21ae,acct_vertex,2026-04-28,integrations,feature_use,false,web,40
evt_000017,usr_29937abc,acct_vertex,2026-04-28,integrations,feature_use,true,desktop,42
evt_000018,usr_5244a3ee,acct_vertex,2026-04-28,search,feature_use,true,desktop,8
evt_000019,usr_5244a3ee,acct_vertex,2026-04-28,search,feature_use,false,web,30
evt_000020,usr_9e923242,acct_vertex,2026-04-28,threaded_replies,feature_use,true,desktop,42
evt_000021,usr_9e923242,acct_vertex,2026-04-28,search,feature_use,false,web,18
evt_000022,usr_9e923242,acct_vertex,2026-04-28,search,feature_use,false,web,16
evt_000023,usr_9e923242,acct_vertex,2026-04-28,calls,feature_use,true,mobile,35
evt_000024,usr_1e9f8550,acct_pioneer,2026-04-28,boards,feature_use,true,web,22
evt_000025,usr_1e9f8550,acct_pioneer,2026-04-28,channel_browse,feature_use,true,mobile,5
evt_000026,usr_38b93348,acct_summit,2026-04-28,admin_permissions,feature_use,true,desktop,8
evt_000027,usr_38b93348,acct_summit,2026-04-28,mobile_notifications,feature_use,true,mobile,16
evt_000028,usr_fbf23e79,acct_summit,2026-04-28,search,feature_use,false,mobile,5
evt_000029,usr_fbf23e79,acct_summit,2026-04-28,integrations,feature_use,false,mobile,7
evt_000030,usr_fbf23e79,acct_summit,2026-04-28,mobile_notifications,feature_use,true,mobile,43
evt_000031,usr_f443b9e4,acct_summit,2026-04-28,integrations,feature_use,true,desktop,26
evt_000032,usr_f443b9e4,acct_summit,2026-04-28,channel_browse,feature_use,true,desktop,29
evt_000033,usr_f443b9e4,acct_summit,2026-04-28,search,feature_use,true,mobile,5
evt_000034,usr_f443b9e4,acct_summit,2026-04-28,search,feature_use,false,mobile,21
evt_000035,usr_7bfeee31,acct_brightline,2026-04-28,boards,feature_use,true,desktop,14
evt_000036,usr_2dc23d25,acct_brightline,2026-04-28,integrations,feature_use,false,web,7
evt_000037,usr_2dc23d25,acct_brightline,2026-04-28,mobile_notifications,feature_use,true,web,44
evt_000038,usr_5d55bd75,acct_brightline,2026-04-28,search,feature_use,true,desktop,9
evt_000039,usr_7c309684,acct_riverstone,2026-04-28,admin_permissions,feature_use,true,web,37
evt_000040,usr_3722543d,acct_riverstone,2026-04-28,boards,feature_use,true,web,36
evt_000041,usr_3722543d,acct_riverstone,2026-04-28,mobile_notifications,feature_use,true,mobile,36
evt_000042,usr_c3000fba,acct_atlas,2026-04-28,channel_browse,feature_use,true,web,43
evt_000043,usr_c3000fba,acct_atlas,2026-04-28,threaded_replies,feature_use,true,mobile,2
evt_000044,usr_c3000fba,acct_atlas,2026-04-28,search,feature_use,false,web,30
evt_000045,usr_b4643ad1,acct_atlas,2026-04-28,threaded_replies,feature_use,true,desktop,39
evt_000046,usr_b4643ad1,acct_atlas,2026-04-28,search,feature_use,true,web,40
evt_000047,usr_b4643ad1,acct_atlas,2026-04-28,search,feature_use,true,web,28
evt_000048,usr_0479ee10,acct_atlas,2026-04-28,mobile_notifications,feature_use,true,mobile,8
evt_000049,usr_0479ee10,acct_atlas,2026-04-28,threaded_replies,feature_use,true,web,43
evt_000050,usr_0479ee10,acct_atlas,2026-04-28,threaded_replies,feature_use,true,desktop,4
evt_000051,usr_0479ee10,acct_atlas,2026-04-28,search,feature_use,true,web,9
evt_000052,usr_bed8bfc8,acct_atlas,2026-04-28,search,feature_use,false,web,25
evt_000053,usr_cd000b0d,acct_atlas,2026-04-28,integrations,feature_use,false,desktop,5
evt_000054,usr_cd000b0d,acct_atlas,2026-04-28,threaded_replies,feature_use,true,web,30
evt_000055,usr_8b446833,acct_horizon,2026-04-28,integrations,feature_use,true,web,2
evt_000056,usr_8b446833,acct_horizon,2026-04-28,admin_permissions,feature_use,true,desktop,30
evt_000057,usr_8b446833,acct_horizon,2026-04-28,boards,feature_use,false,web,7
evt_000058,usr_8b446833,acct_horizon,2026-04-28,search,feature_use,false,mobile,26
evt_000059,usr_b66322f2,acct_clearpath,2026-04-28,integrations,feature_use,true,desktop,23
evt_000060,usr_4d4e04b5,acct_sterling,2026-04-28,integrations,feature_use,true,web,41
evt_000061,usr_4d4e04b5,acct_sterling,2026-04-28,threaded_replies,feature_use,true,desktop,29
evt_000062,usr_0fa297b8,acct_blueharbor,2026-04-28,boards,feature_use,true,web,5
evt_000063,usr_0fa297b8,acct_blueharbor,2026-04-28,threaded_replies,feature_use,true,web,19
evt_000064,usr_0fa297b8,acct_blueharbor,2026-04-28,search,feature_use,false,desktop,40
